Date,Buy_Hold_Value,Account_Value,Percent_Buy_Hold,Percent_Account_Value
2014-07-29,14968.199772,15000.0,-0.0021200152,0.0
2014-07-30,14970.479696,14894.0,-0.00196802026667,-0.00706666666667
2014-07-31,14674.839696,14689.649586,-0.0216773536,-0.0206900276
2014-08-01,14630.0,14697.639837,-0.0246666666667,-0.0201573442
2014-08-04,14735.639924,14964.670058,-0.0176240050667,-0.00235532946667
2014-08-05,14592.75962,14983.300309,-0.0271493586667,-0.00111331273333
2014-08-06,14597.320532,15160.290123,-0.0268452978667,0.0106860082
2014-08-07,14518.279924,15039.129948,-0.0321146717333,0.0026086632
2014-08-08,14686.24038,15192.809937,-0.020917308,0.0128539958
2014-08-11,14728.800228,15414.950008,-0.0180799848,0.0276633338667
2014-08-12,14708.279924,15237.459845,-0.0194480050667,0.0158306563333
2014-08-13,14807.839696,15270.849768,-0.0128106869333,0.0180566512
2014-08-14,14877.75962,15295.91975,-0.00814935866667,0.0197279833333
2014-08-15,14874.720076,15287.179844,-0.00835199493333,0.0191453229333
2014-08-18,14999.360076,15311.769782,-4.26615999999e-05,0.0207846521333
2014-08-19,15077.639924,15332.07976,0.00517599493333,0.0221386506667
2014-08-20,15117.919848,15332.969749,0.0078613232,0.0221979832667
2014-08-21,15162.0,15176.120066,0.0108,0.0117413377333
2014-08-22,15138.440152,15046.54944,0.00922934346667,0.003103296
2014-08-25,15215.199772,14970.689896,0.0143466514667,-0.00195400693333
2014-08-26,15225.080152,15101.719583,0.0150053434667,0.00678130553333
2014-08-27,15219.0,15370.009583,0.0146,0.0246673055333
2014-08-28,15210.639924,15342.029753,0.0140426616,0.0228019835333
2014-08-29,15253.960532,15320.0391,0.0169307021333,0.02133594
2014-09-02,15246.360076,15440.439583,0.0164240050667,0.0293626388667
2014-09-03,15238.0,15325.709583,0.0158666666667,0.0217139722
2014-09-04,15215.960532,15354.800066,0.0143973688,0.0236533377333
2014-09-05,15284.360076,15343.799896,0.0189573384,0.0229199930667
2014-09-08,15244.839696,15296.200066,0.0163226464,0.0197466710667
2014-09-09,15148.320532,15293.700066,0.00988803546667,0.0195800044
2014-09-10,15205.320532,15347.630066,0.0136880354667,0.0231753377333
2014-09-11,15222.800228,15547.499836,0.0148533485333,0.0364999890667
2014-09-12,15133.88038,15407.479951,0.00892535866667,0.0271653300667
2014-09-15,15122.479696,15471.340066,0.00816531306667,0.0314226710667
2014-09-16,15236.479696,15459.399951,0.0157653130667,0.0306266634
2014-09-17,15257.0,15462.140066,0.0171333333333,0.0308093377333
2014-09-18,15338.320532,15361.219951,0.0225547021333,0.0240813300667
